Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Gyro X,Gyro Y,Gyro Z,Pressure,Temperature,Altitude,GPS Lat,GPS Long,Time
-9.57,-1.45,-0.82,-22.27,-25.27,111.02,0,-0.04,0.04,1004.51,26.4,73.02,null,null,0:0:0
-9.53,-1.49,-0.78,-22.45,-23.55,110,0,-0.03,0.03,1004.5,26.4,73.11,null,null,0:0:0
-9.53,-1.53,-0.86,-22.18,-24,110.51,0,-0.03,0.04,1004.49,26.4,73.19,null,null,0:0:0
-9.57,-1.69,-0.78,-22,-24.73,111.02,0,-0.03,0.04,1004.49,26.4,73.19,null,null,0:0:0
-9.61,-1.33,-0.78,-22.27,-24.82,110.92,0,-0.03,0.03,1004.54,26.4,72.77,null,null,0:0:0
-9.41,-1.37,-0.86,-22.45,-23.64,110.2,-0.01,-0.03,0.07,1004.49,26.4,73.19,null,null,0:0:0
-9.65,-1.41,-0.82,-22.64,-23.91,110.2,0,-0.03,0.04,1004.53,26.4,72.86,null,null,0:0:0
-9.57,-1.37,-0.86,-22.73,-23.45,110.2,0,-0.03,0.03,1004.53,26.4,72.86,null,null,0:0:0
-9.61,-1.41,-0.78,-22.45,-24.82,110.71,0,-0.03,0.03,1004.53,26.4,72.86,null,null,0:0:0
-9.61,-1.49,-0.82,-22.36,-24.18,110.71,0,-0.03,0.03,1004.54,26.4,72.77,null,null,0:0:0
-8.83,-1.73,0.16,-22.82,-23.91,109.9,0,-0.03,0.03,1004.5,26.4,73.11,null,null,0:0:0
-9.57,-1.33,-0.78,-22.64,-23.27,110.2,0,-0.03,0.04,1004.49,26.4,73.19,null,null,0:0:0
-9.65,-1.45,-0.82,-22.36,-24.82,110.61,0,-0.03,0.04,1004.5,26.4,73.11,null,null,0:0:0
-9.57,-1.33,-0.75,-22.45,-24,110.61,0,-0.03,0.03,1004.51,26.4,73.02,null,null,0:0:0
-9.61,-1.65,-0.82,-22.18,-25,111.02,0,-0.03,0.03,1004.5,26.4,73.11,null,null,0:0:0
-9.53,-1.41,-0.82,-22.18,-23.45,110,0,-0.03,0.04,1004.5,26.4,73.11,null,null,0:0:0
-9.61,-1.45,-0.75,-22.09,-24.45,110.61,0,-0.03,0.03,1004.52,26.4,72.94,null,null,0:0:0
-9.57,-1.45,-0.82,-22.55,-23.27,109.9,0,-0.03,0.03,1004.53,26.4,72.86,null,null,0:0:0
-9.61,-1.57,-0.82,-22.45,-24.91,111.02,0,-0.03,0.03,1004.41,26.4,73.86,null,null,0:0:0
-9.57,-1.49,-0.82,-22.45,-23.64,110.31,0,-0.03,0.03,1004.44,26.4,73.61,null,null,0:0:0
-9.53,-1.49,-0.75,-22.36,-24.27,110.41,0,-0.03,0.03,1004.49,26.4,73.19,null,null,0:0:0
-9.61,-1.45,-0.82,-22.55,-23.18,110,0,-0.04,0.04,1004.48,26.4,73.28,null,null,0:0:0
-9.65,-1.41,-0.71,-22.27,-25.09,110.92,0,-0.03,0.04,1004.5,26.4,73.11,null,null,0:0:0
-9.61,-1.29,-0.78,-22.45,-23.73,110.31,0,-0.03,0.04,1004.5,26.4,73.11,null,null,0:0:0
-9.65,-1.29,-0.75,-22.27,-25.09,110.92,0,-0.03,0.01,1004.54,26.4,72.77,null,null,0:0:0
-9.61,-1.26,-0.67,-22.27,-23.09,109.9,0,-0.04,0.06,1004.5,26.4,73.11,null,null,0:0:0
-9.57,-0.86,-0.75,-22.55,-22.45,111.22,0.33,-0.01,0.06,1004.5,26.4,73.11,null,null,0:0:0
-10.98,-2.47,-2.9,-26.55,-22.91,108.47,-0.25,-0.68,0.22,1004.49,26.4,73.19,null,null,0:0:0
-9.85,-1.61,-0.39,-22.91,-22,111.02,0.29,-0.07,0.13,1004.48,26.4,73.28,null,null,0:0:0
-8.32,-0.55,-0.78,-25.73,-17.55,108.98,0.66,0.11,-0.02,1004.48,26.4,73.28,null,null,0:0:0
-9.49,-0.86,-0.94,-25.82,-11.73,109.29,0.47,-0.02,-0.02,1004.49,26.4,73.19,null,null,0:0:0
-10.12,-0.75,-0.86,-25.45,-8.27,108.16,0.08,0.02,-0.13,1004.41,26.4,73.86,null,null,0:0:0
-9.92,-2.63,0.35,-21.45,-7.27,110.71,0.05,-0.32,0.06,1004.47,26.4,73.36,null,null,0:0:0
-9.65,-2.67,-0.43,-23.09,-7.36,109.59,0.43,0.13,-0.56,1004.41,26.4,73.86,null,null,0:0:0
-9.26,-2.67,-0.27,-25.91,-3.36,106.73,0.66,0.15,-0.17,1004.47,26.4,73.36,null,null,0:0:0
