Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Gyro X,Gyro Y,Gyro Z,Pressure,Temperature,Altitude,GPS Lat,GPS Long,Time
-7.85,0.39,-2.79,-4.82,-45.64,88.57,0.91,-0.43,0.15,1006.98,35.6,52.34,null,null,0:0:0
-8.59,-2.55,-0.9,9.64,-51.27,76.33,0.15,0.08,-0.24,1006.94,35.3,52.67,null,null,0:0:0
-4.35,-7.34,-4.39,26.64,-53.82,76.84,-0.05,0,-0.25,1007.18,35.5,50.66,null,null,0:0:0
-4.59,-8.55,-4.67,26.27,-55,75.82,-0.3,0.5,0.09,1007.16,35.5,50.83,null,null,0:0:0
-7.96,-1.96,-2.12,-2.82,-51.45,79.9,0.73,0.19,-1.07,1007.03,35.5,51.92,null,null,0:0:0
-7.92,-3.18,-1.65,1.64,-50.64,77.04,-0.04,-0.39,-0.25,1006.97,35.5,52.42,null,null,0:0:0
-8.43,-2.55,-1.45,1.64,-50.91,75.31,-0.12,0.55,-0.22,1006.93,35.5,52.75,null,null,0:0:0
-9.06,-2.47,-3.45,-3.18,-50.18,75.31,0.53,-0.09,-0.84,1006.95,35.5,52.59,null,null,0:0:0
-9.3,-2.59,-3.53,-2.73,-47.91,80.82,0.45,-0.57,-0.58,1006.89,35.4,53.09,null,null,0:0:0
-8.2,-3.1,-3.06,4,-48.18,81.63,-0.36,-0.53,-1.16,1006.98,35.4,52.34,null,null,0:0:0
-8.67,-4,-0.31,11.55,-51,69.39,-0.02,0.47,1.02,1006.87,35.4,53.26,null,null,0:0:0
-9.06,-4.28,-3.18,4.82,-52,65.61,-0.27,-1.07,0.33,1006.95,35.4,52.59,null,null,0:0:0
-10.43,-1.96,-2.71,1.91,-51.45,70,0.16,0.58,0.56,1006.94,35.4,52.67,null,null,0:0:0
-11.34,-0.55,-2.86,-0.64,-50.64,73.57,1.27,-0.31,0.94,1006.94,35.4,52.67,null,null,0:0:0
-8.9,0.71,-2.59,-3.55,-48.73,78.06,0.16,-0.22,-0.6,1006.94,35.4,52.67,null,null,0:0:0
-8.55,-3.8,-3.06,1,-50.36,75.1,-0.82,-0.16,-0.43,1006.91,35.4,52.92,null,null,0:0:0
-8.87,-5.3,-2.28,5.36,-50.82,71.84,-0.19,-0.14,-0.38,1006.91,35.4,52.92,null,null,0:0:0
-10,-6.04,-4.75,9.18,-51.09,71.84,0.57,-0.17,0.76,1006.91,35.4,52.92,null,null,0:0:0
-9.18,-0.43,-2.16,-4.64,-48.45,77.24,0.45,-0.27,1.15,1006.93,35.4,52.75,null,null,0:0:0
-10.24,-2.47,-2.43,-5.64,-46.73,80.92,0.69,0.27,-1.02,1006.89,35.4,53.09,null,null,0:0:0
-11.57,-3.84,0.47,4.27,-48.91,78.88,-0.15,-0.32,-1.07,1006.91,35.4,52.92,null,null,0:0:0
-9.02,-1.45,-5.84,7.82,-49.45,78.27,-0.5,0.75,1.34,1006.96,35.4,52.5,null,null,0:0:0
-9.22,-4.31,-3.49,4.91,-49.09,79.08,0.6,0.32,-0.29,1006.92,35.4,52.84,null,null,0:0:0
-9.45,2.51,-4.2,-16.45,-47,71.53,-1.66,0.51,1.3,1006.87,35.4,53.26,null,null,0:0:0
-9.3,-0.08,-3.18,-1.64,-50.36,55.41,0.22,0.01,-0.13,1006.91,35.5,52.92,null,null,0:0:0
-9.14,0,-2.98,-3.27,-50.45,56.63,0.23,0.06,0.04,1006.95,35.5,52.59,null,null,0:0:0:0
-9.41,0.31,-2,-7.45,-50.55,71.22,0.3,-0.11,0.07,1006.86,35.5,53.34,null,null,0:0:0
-9.92,-0.12,-2.04,-7.82,-50.27,72.65,0.03,0.01,-0.06,1006.91,35.5,52.92,null,null,0:0:0
-9.41,0.27,-1.84,-7.18,-50.18,72.96,-0.13,-0.02,-0.01,1006.97,35.5,52.42,null,null,0:0:0
-9.81,-0.12,-2.12,-6.36,-50.64,71.53,-0.16,-0.15,0.02,1006.86,35.5,53.34,null,null,0:0:0
-9.81,0.12,-1.73,-6,-50.82,70.71,-0.16,-0.12,0.02,1006.89,35.5,53.09,null,null,0:0:0
-9.65,0.04,-1.8,-6.18,-50.73,70.41,0.12,-0.15,0.12,1006.89,35.5,53.09,null,null,0:0:0
-8.98,0.39,-1.45,-6.09,-50.18,73.27,0.5,-0.02,-0.06,1006.87,35.5,53.26,null,null,0:0:0
-9.81,0.31,-1.69,-6.36,-49.18,77.24,0.41,0.11,0.07,1006.9,35.5,53,null,null,0:0:0
-9.89,0.04,-2.94,-15,-39.36,88.27,-0.42,0.08,-0.07,1006.89,35.5,53.09,null,null,0:0:0
-9.81,3.02,-3.57,-16.64,-44.55,80.31,-0.26,0.05,-0.22,1006.88,35.5,53.17,null,null,0:0:0
-10.75,2.35,-3.06,-16.73,-45.09,78.98,-0.27,0.05,0.03,1006.84,35.5,53.51,null,null,0:0:0
-10.63,0.75,-2.82,-15.45,-47.36,75.51,-0.17,-0.01,-0.2,1006.94,35.5,52.67,null,null,0:0:0
-10.63,0.75,-2.82,-15.45,-47.36,75.51,-0.17,-0.01,-0.2,1006.94,35.5,52.67,null,null,-4.2,-2.63,-2,-15.45,-46.91,70.61,-0.66,-0.55,-2.23,1006.88,35.6,53.17,null,null,0:0:0
-10.36,3.37,-2.24,-4.27,-50,74.29,1.23,0.11,2.27,1006.82,35.5,53.67,null,null,0:0:0
-7.85,3.84,-3.61,-19.73,-42.91,81.53,-1.43,-1.34,0.19,1006.87,35.6,53.26,null,null,0:0:0
-8.9,4.9,-0.31,-22,-46.27,71.33,-0.46,-0.07,0.33,1006.87,35.6,53.26,null,null,0:0:0
-9.22,4.75,0.94,-21,-47.09,70.51,-0.09,-0.11,-0.08,1006.95,35.5,52.59,null,null,0:0:0
-9.3,2.2,1.33,-19.18,-48.27,68.98,-0.01,-0.17,-0.19,1006.93,35.5,52.75,null,null,0:0:0
-9.41,2.94,0.55,-18.73,-48,69.69,-0.06,-0.05,-0.2,1006.9,35.5,53,null,null,0:0:0
-9.61,3.3,0.27,-17.73,-48.82,68.06,-0.05,-0.08,-0.14,1006.92,35.5,52.84,null,null,0:0:0
