Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Gyro X,Gyro Y,Gyro Z,Pressure,Temperature,Altitude,GPS Lat,GPS Long,Time
-10.28,-1.22,-2.82,-1.27,-37.82,18.57,1.36,0.32,-0.55,1004.28,26.4,74.95,null,null,0:0:0
-8.59,-0.9,-2.55,-3.82,-51.55,12.65,0.22,0.31,-0.8,1004.29,26.4,74.87,null,null,0:0:0
-10.98,-1.69,-3.41,5.18,-57.09,13.98,0.74,0.06,-0.25,1004.33,26.4,74.53,null,null,0:0:0
-10.98,-1.69,-3.41,5.18,-57.09,13.98,0.74,0.06,-0.25,1004.33,26.4,74.53,null,null,-9.77,-1.02,-3.18,-18.18,-21.18,29.59,0.56,0.25,-0.73,1004.27,26.3,75.04,null,null,0:0:0
-10.2,-1.1,-3.06,-5.64,-26.27,33.47,-0.47,-0.86,1.05,1004.3,26.3,74.78,null,null,0:0:0
-8.55,-0.55,-2.63,-7.27,-25.55,36.94,0.02,0.45,-0.53,1004.32,26.3,74.62,null,null,0:0:0
-10.43,-0.86,-2.86,-8,-47.45,19.49,-0.21,-0.42,0.26,1004.23,26.3,75.37,null,null,0:0:0
-9.73,-1.14,-2.86,-15.27,-34.09,16.02,-0.87,0.07,-0.08,1004.26,26.2,75.12,null,null,0:0:0
-9.38,-0.9,-2.63,-10.45,-14.18,15.61,-0.13,0.39,-0.26,1004.23,26.2,75.37,null,null,0:0:0
-9.41,-0.98,-2.43,-4.91,-14.27,16.12,1,-0.15,-0.11,1004.15,26.2,76.04,null,null,0:0:0
-8.94,-0.94,-2.39,3.45,0.27,13.57,-0.02,-0.43,-0.27,1004.21,26.2,75.54,null,null,0:0:0
-9.73,-1.29,-3.02,5.36,3.18,15.82,0.27,-0.05,0.18,1004.12,26.2,76.29,null,null,0:0:0
-8.9,-1.37,-2.2,9.09,-6.27,16.02,1.59,0,0.39,1004.1,26.2,76.46,null,null,0:0:0
-9.61,-0.82,-3.02,7.45,-25.91,26.63,1.26,-0.39,0.09,1004.16,26.2,75.96,null,null,0:0:0
-7.92,-0.51,-2.31,-15.36,4.55,82.96,1.34,0.06,0.47,1004.13,26.2,76.21,null,null,0:0:0
-10.98,-0.59,-3.53,-42.36,-0.18,117.14,0.69,0.84,0.34,1003.98,26.1,77.47,null,null,0:0:0
-9.1,-0.59,-2.47,-36.45,-5.73,126.22,2.33,-0.32,0.24,1003.99,26.1,77.38,null,null,0:0:0
-7.69,-0.82,-1.96,-35.09,-18.27,131.94,0.87,0.62,0.46,1003.99,26.1,77.38,null,null,0:0:0
-9.45,-1.45,-2.98,-55,-8.91,119.69,-0.12,-0.52,-0.03,1003.96,26.1,77.64,null,null,0:0:0
-8.32,-0.39,-2.39,-39.45,-22.82,126.63,-1.08,-0.18,0.8,1003.89,26.1,78.22,null,null,0:0:0
-8.94,-1.06,-2.51,-38.55,-36.27,120.31,0.72,0.89,-1.6,1003.9,26.1,78.14,null,null,0:0:0
