Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Gyro X,Gyro Y,Gyro Z,Pressure,Temperature,Altitude,GPS Lat,GPS Long,Time
9.1,3,9.2,5.4,3.9,13.9,0.88,0.01,0.15,1003.41,25,178,1.3553794,103.8677444,6:47:00 PM
8,6,8.2,0,6,4.9,0.32,0.48,0.67,1003.41,25,194,1.3553794,103.8677444,6:47:01 PM
4.6,5.5,0.9,4.5,19.2,10.2,0.31,0.34,0.89,1003.41,26,62,1.3553794,103.8677444,6:47:02 PM
3.1,3.1,5.1,10.7,5.4,1.4,0.56,0.10,0.78,1003.41,27,163,1.3553794,103.8677444,6:47:03 PM
6.3,3.2,3.1,5.2,9,7.2,0.55,0.59,0.41,1003.41,26,104,1.3553794,103.8677444,6:47:04 PM
7.1,1.9,9.1,9.9,12,10.7,0.17,0.35,0.08,1003.41,24,149,1.3553794,103.8677444,6:47:05 PM
7.7,3.4,4.7,7.7,4.9,17.7,0.70,0.56,0.32,1003.41,28,102,1.3553794,103.8677444,6:47:06 PM
9,8.8,1.7,6.5,14.7,2,0.39,0.58,0.83,1003.41,22,196,1.3553794,103.8677444,6:47:07 PM
2.4,8.8,5.9,5.6,8,3.6,0.81,0.07,0.16,1003.41,29,154,1.3553794,103.8677444,6:47:08 PM
8.7,0.9,1.4,6.3,6,9,0.45,0.20,0.24,1003.41,23,115,1.3553794,103.8677444,6:47:09 PM
5.1,2.1,4.1,10.4,12.7,8.4,0.31,0.43,0.23,1003.41,20,182,1.3553794,103.8677444,6:47:10 PM
7.2,2,6.3,5.8,6.8,4.8,0.71,0.73,0.11,1003.41,26,113,1.3553794,103.8677444,6:47:11 PM
6.4,2.5,8.4,10.8,4.3,12.3,0.55,0.95,0.56,1003.41,21,170,1.3553794,103.8677444,6:47:12 PM
8.7,0.7,4.3,4.9,10.8,12.3,0.48,0.04,0.70,1003.41,21,127,1.3553794,103.8677444,6:47:13 PM
0.9,7.4,0.9,16.7,11.7,5.2,0.79,0.97,0.22,1003.41,23,175,1.3553794,103.8677444,6:47:14 PM
6.4,4.6,4.8,0.1,8.2,5.4,0.86,0.04,0.23,1003.41,21,89,1.3553794,103.8677444,6:47:15 PM
5.5,7,0.3,9.8,2.6,15.4,0.85,0.81,0.08,1003.41,29,162,1.3553794,103.8677444,6:47:16 PM
8.4,0.9,4.1,4.9,6.7,14,0.39,0.24,0.65,1003.41,25,96,1.3553794,103.8677444,6:47:17 PM
5.2,9.1,5.7,7.5,13.7,3.5,0.41,0.51,0.31,1003.41,23,73,1.3553794,103.8677444,6:47:18 PM
3.8,5.1,2.5,16.7,12.4,19,0.19,0.13,0.77,1003.41,20,181,1.3553794,103.8677444,6:47:19 PM
0.5,5.2,1.7,18.4,16.8,15.9,0.29,0.16,0.40,1003.41,23,182,1.3553794,103.8677444,6:47:20 PM
7.9,0.6,0.8,16.5,15.6,11.1,0.86,0.13,0.25,1003.41,24,138,1.3553794,103.8677444,6:47:21 PM
1.4,5.5,5,16.2,19,2,0.46,0.78,0.17,1003.41,22,149,1.3553794,103.8677444,6:47:22 PM
1.2,8.8,9.5,2.8,9.2,17.1,0.34,0.70,0.93,1003.41,20,63,1.3553794,103.8677444,6:47:23 PM
2.7,7,3.3,17.4,18.6,18,0.02,0.84,0.87,1003.41,20,128,1.3553794,103.8677444,6:47:24 PM
8.9,8.5,1.6,13.2,0.4,12.7,0.01,0.36,0.52,1003.41,24,126,1.3553794,103.8677444,6:47:25 PM
6.3,4.6,7.2,5.8,12.9,10.5,0.51,0.46,0.90,1003.41,27,78,1.3553794,103.8677444,6:47:26 PM
0.2,8.8,6.2,1.4,19.5,6.6,0.80,0.07,0.88,1003.41,24,146,1.3553794,103.8677444,6:47:27 PM
1.8,8.9,3.5,18.5,17,11.4,0.21,0.41,0.34,1003.41,22,161,1.3553794,103.8677444,6:47:28 PM
9.5,3.6,4.7,7.6,8.7,14.6,0.34,0.63,0.82,1003.41,24,53,1.3553794,103.8677444,6:47:29 PM
5.8,2.9,6.4,16.6,12.3,11.8,0.27,0.00,0.44,1003.41,22,167,1.3553794,103.8677444,6:47:30 PM
5.4,3.9,3.2,12.6,16.6,7.2,0.12,0.51,0.96,1003.41,22,106,1.3553794,103.8677444,6:47:31 PM
0.7,9.1,9,2.6,18.6,12.9,0.83,0.04,0.58,1003.41,29,159,1.3553794,103.8677444,6:47:32 PM
9.3,2.1,5.9,16.1,13,14.5,0.08,0.43,0.11,1003.41,23,182,1.3553794,103.8677444,6:47:33 PM
3.4,3.9,4.5,8.6,0.3,14.2,0.93,0.52,0.36,1003.41,26,154,1.3553794,103.8677444,6:47:34 PM
8,4.1,8.9,18.5,3.8,3.3,0.58,0.74,0.66,1003.41,25,129,1.3553794,103.8677444,6:47:35 PM
8.1,5,2.5,13,4.1,15,0.70,0.19,0.46,1003.41,22,182,1.3553794,103.8677444,6:47:36 PM
8.5,9.4,1,4.5,18.7,11.6,0.62,0.69,0.50,1003.41,29,62,1.3553794,103.8677444,6:47:37 PM
7.2,8.8,9,3.3,4.7,5.8,0.71,0.85,0.40,1003.41,20,82,1.3553794,103.8677444,6:47:38 PM
9.6,5.9,0.4,14.6,2.9,3.1,0.89,0.72,0.46,1003.41,23,186,1.3553794,103.8677444,6:47:39 PM
0.1,2.9,5.6,18.7,5.1,2,0.46,0.57,0.40,1003.41,27,83,1.3553794,103.8677444,6:47:40 PM
5.4,0.6,0,18.1,15.6,0,0.73,0.90,0.91,1003.41,23,68,1.3553794,103.8677444,6:47:41 PM
4.2,6,2.5,6.8,5.5,11.7,0.84,0.11,0.48,1003.41,22,166,1.3553794,103.8677444,6:47:42 PM
2,3.2,5,8.4,8.9,17.6,0.18,0.40,0.30,1003.41,20,65,1.3553794,103.8677444,6:47:43 PM
3.8,2.1,8,18.4,7.7,9,0.15,0.80,0.46,1003.41,28,116,1.3553794,103.8677444,6:47:44 PM
5.7,7.2,1.3,1.6,16.9,6.8,0.70,0.59,0.84,1003.41,27,183,1.3553794,103.8677444,6:47:45 PM
3,2.5,2.3,5.3,3.9,14.4,0.72,0.27,0.47,1003.41,28,96,1.3553794,103.8677444,6:47:46 PM
8.6,6.3,9.8,6.4,14.2,14.8,0.82,0.57,0.87,1003.41,20,74,1.3553794,103.8677444,6:47:47 PM
3.7,1,0.3,11.1,12.4,2.6,0.49,0.20,0.64,1003.41,21,189,1.3553794,103.8677444,6:47:48 PM
2.4,2.7,7.7,2.9,2.2,5.7,0.72,0.21,0.72,1003.41,25,67,1.3553794,103.8677444,6:47:49 PM
3.8,2.1,1,3,6.1,18.4,0.90,0.36,0.82,1003.41,27,62,1.3553794,103.8677444,6:47:50 PM
9.9,8,3.9,5.4,0.6,10.2,0.32,0.59,0.25,1003.41,20,189,1.3553794,103.8677444,6:47:51 PM
3.8,4.6,4.4,10.6,18.7,15,0.82,0.42,0.07,1003.41,27,70,1.3553794,103.8677444,6:47:52 PM
4.5,0.2,0.6,0.2,7.4,1,0.22,0.92,0.18,1003.41,28,58,1.3553794,103.8677444,6:47:53 PM
9.7,0.8,2.1,3.6,16.8,14.7,0.98,0.36,0.31,1003.41,25,74,1.3553794,103.8677444,6:47:54 PM
7.3,6.1,1.3,4.8,1.9,8.7,0.13,0.22,0.95,1003.41,29,163,1.3553794,103.8677444,6:47:55 PM
2.8,6,4.7,4.9,6.8,0.7,0.45,0.98,0.56,1003.41,29,191,1.3553794,103.8677444,6:47:56 PM
7.1,5.1,8.4,4.1,4.2,13,0.18,0.56,0.71,1003.41,28,138,1.3553794,103.8677444,6:47:57 PM
1.3,2.9,4.2,16.2,15.9,10,0.07,0.71,0.07,1003.41,29,173,1.3553794,103.8677444,6:47:58 PM
0.5,1.8,2.9,8.4,10.5,0.6,0.51,0.44,0.08,1003.41,25,172,1.3553794,103.8677444,6:47:59 PM
8.9,6.6,6.6,7.2,7.6,14.1,0.85,0.26,0.53,1003.41,21,181,1.3553794,103.8677444,6:48:00 PM
4.3,9.2,3.8,8.1,10.7,8.5,0.51,0.53,0.51,1003.41,21,117,1.3553794,103.8677444,6:48:01 PM
2.1,8.7,0,10.2,4.2,7,0.81,0.41,0.25,1003.41,24,113,1.3553794,103.8677444,6:48:02 PM
6.4,1.6,5.4,2.4,19.9,9.8,0.00,0.15,0.17,1003.41,24,162,1.3553794,103.8677444,6:48:03 PM
1.5,4.9,9.1,15.1,9.3,3,0.05,0.66,0.13,1003.41,23,79,1.3553794,103.8677444,6:48:04 PM
6.7,9.2,9.8,2.5,10.4,14.3,0.88,0.35,0.62,1003.41,23,143,1.3553794,103.8677444,6:48:05 PM
7,5.9,7.6,7,2.8,9,0.26,0.76,0.54,1003.41,26,191,1.3553794,103.8677444,6:48:06 PM
0.3,1.7,9.2,6.3,5.9,19.3,0.48,0.24,0.42,1003.41,26,100,1.3553794,103.8677444,6:48:07 PM
8.7,5.8,1.3,14.3,9.2,19.5,0.96,0.54,0.60,1003.41,28,131,1.3553794,103.8677444,6:48:08 PM
3.8,3.2,1.8,15.3,19.4,17.9,0.31,0.45,0.40,1003.41,23,117,1.3553794,103.8677444,6:48:09 PM
1.7,1.4,0.1,13,19.4,9,0.88,0.96,0.53,1003.41,22,93,1.3553794,103.8677444,6:48:10 PM
5.7,0.8,7.7,10.9,3.8,11.1,0.86,0.10,0.43,1003.41,25,127,1.3553794,103.8677444,6:48:11 PM
1.8,8.2,2.6,14.7,7.7,9.9,0.36,0.45,0.83,1003.41,28,166,1.3553794,103.8677444,6:48:12 PM
7.8,9.6,4.7,4.1,17.4,16.2,0.87,0.32,0.54,1003.41,29,129,1.3553794,103.8677444,6:48:13 PM
7.1,4.4,1.3,7.7,19.1,9.1,0.78,0.71,0.95,1003.41,25,106,1.3553794,103.8677444,6:48:14 PM
2.5,8.8,7.7,17.3,10.4,8.7,0.31,0.47,0.09,1003.41,23,156,1.3553794,103.8677444,6:48:15 PM
2.8,3.6,2,7.1,17.9,5.6,0.73,0.38,0.75,1003.41,23,105,1.3553794,103.8677444,6:48:16 PM
0,9.2,8.2,6.9,13.3,14.9,0.06,0.65,0.13,1003.41,26,126,1.3553794,103.8677444,6:48:17 PM
3.5,8.2,6.7,5.4,18.1,18.2,0.43,0.59,0.34,1003.41,20,143,1.3553794,103.8677444,6:48:18 PM
1.3,3.8,4.9,18.9,15.8,4.8,0.46,0.17,0.48,1003.41,23,52,1.3553794,103.8677444,6:48:19 PM
2.3,5.4,8.4,14.7,10.3,9.7,0.03,0.93,0.71,1003.41,20,150,1.3553794,103.8677444,6:48:20 PM
5.7,8,7.2,16.1,7.1,3.7,0.52,0.75,0.17,1003.41,25,105,1.3553794,103.8677444,6:48:21 PM
3.4,3.1,2.5,2,2.1,15.9,0.36,0.80,0.17,1003.41,28,101,1.3553794,103.8677444,6:48:22 PM
6.7,3.9,2.7,1.1,12,0.8,0.59,0.67,0.64,1003.41,22,116,1.3553794,103.8677444,6:48:23 PM
3.8,2.8,3.7,19.8,13.9,16.8,0.58,0.40,0.84,1003.41,25,143,1.3553794,103.8677444,6:48:24 PM
6.3,8.3,4.6,9.1,6.8,6.3,0.08,0.77,0.29,1003.41,23,188,1.3553794,103.8677444,6:48:25 PM
