Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Gyro X,Gyro Y,Gyro Z,Pressure,Temperature,Altitude,GPS Lat,GPS Long,Time
-9.53,-1.18,1.06,-1,-0.18,52.45,3.49,-0.44,2.03,1004.31,34.1,74.7,,,
-9.22,-1.69,-1.22,-11.73,0.27,-38.57,-1.66,-0.16,-0.04,1004.48,34.4,73.28,,,
-9.02,-1.33,-1.33,-15.73,16.36,-31.63,-1.9,-0.06,-0.44,1004.36,34.3,74.28,,,
-10.04,-2.12,-0.94,-20.18,37.73,8.06,-1.99,0.22,0.29,1004.22,34.3,75.46,,,
-9.85,-1.06,-1.29,-18.82,35.27,24.08,-1.5,-0.54,-0.45,1004.28,34.3,74.95,,,
-9.92,-1.1,-1.88,-24.36,20.55,40.71,-1.76,0.13,-0.46,1004.35,34.3,74.36,,,
-9.38,-1.14,-1.14,-25,4,48.27,-1.04,-0.35,0.18,1004.37,34.3,74.2,,,
-9.96,-1.8,-1.06,-19.18,0.18,51.02,0.15,-0.38,0.08,1004.41,34.3,73.86,,,
-10.04,-0.59,-1.65,-24.55,28.64,31.02,2.02,0.47,0.57,1004.32,34.3,74.62,,,
-9.22,-0.82,-1.53,-24.18,34.82,16.22,0.94,0.1,0.19,1004.21,34.3,75.54,,,
-8.63,-1.02,-1.1,-25.18,35.27,14.59,-0.8,-0.52,-0.31,1004.23,34.3,75.37,,,
-11.06,-1.22,-2.08,-25.09,30.09,29.18,-2.5,-0.01,0.32,1004.32,34.3,74.62,,,
-9.38,-0.9,-1.53,-20.82,8.64,48.78,-1.93,-0.18,-0.56,1004.3,34.4,74.78,,,
-10.16,-1.37,-2,-23.73,-10.64,50.71,-0.6,0.22,-0.03,1004.32,34.4,74.62,,,
-10.94,-1.22,-2.39,-23.64,-8.91,50.82,0.93,-0.19,0.45,1004.37,34.4,74.2,,,
-9.65,-1.1,-1.53,-22.09,14.73,45.92,3.11,0.19,-0.32,1004.28,34.3,74.95,,,
-9.14,-3.77,-1.77,-32.64,29.91,-6.84,-0.19,0.36,0.09,1003.99,34.2,77.38,,,
-8.75,-4.86,-5.88,-34.27,31.36,7.96,-3.3,0.95,-0.79,1004.27,34.3,75.04,,,
-8.43,-4.47,-2.67,-36.27,18.18,35.2,-1.83,-0.93,-1.14,1004.34,34.3,74.45,,,
-7.81,-3.57,-3.1,-22.91,-29,45.51,-1.86,-0.7,-0.97,1004.6,34.5,72.27,,,
